Name,Company,Platoon,Section
Michael Smith,Chali,3,2
Patricia Williams,Alpha,3,3
David Rodriguez,Danger,2,3
Mary Francis,Danger,3,1
Michael Francis,Alpha,2,2
Linda Williams,Danger,3,1
Patricia Davis,Chali,2,2
Robert Rodriguez,Bravo,3,2
Robert Jones,Danger,1,1
Patricia Williams,Alpha,3,1
Linda Garcia,Danger,1,1
Robert Rodriguez,Danger,3,1
Alice Williams,Chali,2,3
Patricia Williams,Alpha,3,2
Mary Smith,Chali,2,2
Linda Davis,Bravo,1,3
Blue Brown,Bravo,1,2
Patricia Johnson,Bravo,3,2
David Davis,Alpha,3,1
Patricia Brown,Chali,1,3
Robert Davis,Alpha,3,2
James Smith,Danger,3,1
John Miller,Alpha,1,1
Patricia Rodriguez,Chali,3,1
Michael Miller,Bravo,1,2
John Miller,Chali,3,3
Alice Brown,Alpha,2,1
James Rodriguez,Bravo,1,2
Blue Davis,Chali,3,2
John Jones,Chali,1,2
Patricia Williams,Bravo,2,1
David Williams,Danger,2,1
Linda Rodriguez,Alpha,3,3
David Miller,Alpha,2,3
Michael Miller,Bravo,1,2
Linda Jones,Danger,2,1
Alice Jones,Chali,3,3
Mary Miller,Alpha,2,3
Patricia Garcia,Bravo,2,2
Alice Francis,Bravo,3,2
Robert Miller,Danger,3,1
Robert Rodriguez,Bravo,2,2
John Miller,Chali,2,3
Patricia Johnson,Danger,3,3
Patricia Brown,Chali,1,3
Robert Miller,Bravo,1,1
David Francis,Danger,2,2
Patricia Smith,Danger,2,1
Patricia Johnson,Danger,2,1
Alice Jones,Bravo,2,1
John Smith,Alpha,1,3
Blue Johnson,Chali,3,1
Mary Jones,Danger,3,2
Alice Davis,Bravo,1,1
John Jones,Danger,1,1
Alice Garcia,Danger,3,1
James Rodriguez,Danger,2,1
Robert Williams,Bravo,2,2
Michael Johnson,Alpha,2,1
Linda Smith,Bravo,3,2
Patricia Garcia,Danger,3,1
Patricia Johnson,Bravo,2,3
Mary Brown,Bravo,2,2
Michael Johnson,Chali,2,2
Michael Smith,Danger,3,3
Robert Miller,Bravo,3,1
Michael Rodriguez,Alpha,3,3
Mary Francis,Danger,1,1
John Smith,Alpha,2,1
Linda Miller,Danger,3,2
Robert Johnson,Danger,3,2
John Johnson,Danger,2,2
Linda Smith,Alpha,1,1
Linda Davis,Danger,1,1
Robert Davis,Alpha,2,3
Alice Johnson,Chali,2,2
John Garcia,Alpha,2,2
John Johnson,Chali,1,2
John Johnson,Danger,3,3
Blue Brown,Bravo,3,3
Patricia Jones,Danger,2,2
David Rodriguez,Alpha,3,2
David Garcia,Danger,1,1
Alice Smith,Bravo,2,3
David Williams,Alpha,3,2
Blue Johnson,Alpha,3,1
Michael Francis,Chali,2,2
Robert Brown,Danger,3,1
Patricia Jones,Danger,3,1
Alice Johnson,Danger,1,1
Blue Garcia,Alpha,1,3
Blue Johnson,Bravo,1,2
Alice Jones,Chali,2,1
David Garcia,Danger,3,3
Mary Jones,Chali,1,3
Patricia Miller,Alpha,2,2
Blue Davis,Bravo,2,1
Robert Garcia,Danger,1,3
Alice Rodriguez,Bravo,3,1
John Garcia,Danger,2,2
Mary Jones,Bravo,3,3
Alice Davis,Chali,1,1
James Rodriguez,Bravo,2,2
Blue Johnson,Bravo,3,2
Blue Brown,Alpha,1,2
Alice Davis,Alpha,1,1
Mary Miller,Alpha,3,1
Blue Davis,Alpha,2,1
Patricia Garcia,Danger,1,3
David Johnson,Danger,1,2
Robert Brown,Chali,1,1
Blue Francis,Bravo,1,2
Robert Johnson,Bravo,3,1
Patricia Davis,Danger,1,2
Robert Johnson,Chali,3,2
Mary Jones,Danger,1,3
Blue Francis,Bravo,1,1
Robert Garcia,Chali,2,2
Mary Francis,Bravo,3,2
James Jones,Chali,2,3
David Rodriguez,Chali,3,1
Robert Williams,Chali,2,1
Robert Williams,Chali,2,2
David Francis,Chali,2,1
Blue Smith,Bravo,1,3
Blue Davis,Bravo,1,2
Michael Williams,Alpha,2,2
Robert Francis,Bravo,1,1
Blue Smith,Danger,2,3
Linda Miller,Alpha,1,1
Robert Garcia,Alpha,3,2
Blue Francis,Danger,2,1
Mary Williams,Alpha,2,2
Linda Smith,Chali,3,1
Mary Miller,Alpha,2,3
John Jones,Chali,1,1
Robert Jones,Bravo,2,3
James Williams,Bravo,1,1
John Jones,Chali,1,1
Mary Garcia,Chali,3,3
Patricia Johnson,Alpha,2,1
Alice Davis,Chali,1,2
Alice Smith,Alpha,1,1
Blue Davis,Chali,2,2
Blue Brown,Chali,2,2
Michael Smith,Alpha,3,2
James Jones,Alpha,3,2
Blue Garcia,Danger,1,3
Mary Davis,Bravo,2,2
Linda Rodriguez,Bravo,2,2
Alice Miller,Chali,1,3
Blue Garcia,Alpha,2,3
Linda Brown,Bravo,3,3
Mary Francis,Alpha,1,2
James Smith,Danger,1,1
Alice Williams,Chali,1,3
Mary Davis,Bravo,2,3
Michael Jones,Danger,1,1
Michael Davis,Chali,2,2
Michael Miller,Danger,2,2
Michael Johnson,Chali,3,2
Robert Garcia,Danger,2,3
Mary Williams,Alpha,3,3
James Smith,Alpha,2,2
Linda Williams,Bravo,2,1
Patricia Jones,Chali,2,1
James Jones,Bravo,3,2
