Name,Company,Section,Platoon
Laura Williams,B,1,Alpha
Sarah Miller,D,1,Charlie
Emily Garcia,D,1,Bravo
Emily Garcia,C,1,Bravo
John Miller,D,2,Alpha
Anna Smith,B,1,Charlie
Laura Williams,D,4,Alpha
John Williams,D,2,Charlie
Sarah Smith,B,3,Charlie
Laura Jones,B,4,Delta
James Martinez,A,1,Delta
Anna Hernandez,C,2,Bravo
Emily Martinez,D,2,Bravo
Emily Brown,C,3,Bravo
Emily Davis,D,3,Alpha
Anna Smith,D,1,Delta
Robert Smith,B,4,Charlie
Michael Martinez,C,2,Charlie
Michael Johnson,A,1,Bravo
Anna Brown,D,3,Bravo
David Martinez,C,3,Bravo
Robert Jones,B,1,Alpha
Jane Williams,B,2,Alpha
Emily Garcia,A,3,Alpha
Robert Brown,A,3,Bravo
Anna Davis,B,3,Bravo
Sarah Davis,C,4,Delta
Jane Martinez,B,1,Bravo
John Jones,D,4,Charlie
John Miller,B,3,Bravo
Robert Martinez,C,1,Bravo
John Hernandez,D,2,Alpha
David Hernandez,B,2,Bravo
Anna Miller,C,3,Bravo
David Jones,C,2,Alpha
Emily Brown,A,2,Charlie
Emily Brown,A,3,Bravo
Anna Jones,B,2,Bravo
David Williams,D,1,Alpha
Sarah Martinez,C,3,Charlie
Emily Miller,B,1,Bravo
James Hernandez,A,3,Alpha
Emily Martinez,A,1,Charlie
Michael Hernandez,B,3,Delta
James Hernandez,B,1,Bravo
Sarah Williams,A,2,Delta
Jane Smith,C,2,Delta
Jane Hernandez,D,2,Alpha
David Brown,D,3,Charlie
Michael Brown,D,3,Alpha
James Hernandez,A,3,Delta
Anna Brown,D,3,Alpha
Jane Williams,A,2,Charlie
James Williams,B,1,Bravo
Jane Johnson,D,2,Bravo
Laura Miller,D,2,Bravo
Anna Williams,A,2,Delta
Sarah Davis,A,1,Alpha
John Jones,A,2,Delta
Laura Smith,B,3,Charlie
Laura Martinez,A,1,Bravo
John Jones,B,4,Charlie
Anna Miller,B,4,Alpha
Laura Smith,C,3,Alpha
Jane Jones,B,3,Charlie
Robert Brown,C,1,Delta
Michael Johnson,C,1,Alpha
David Williams,B,1,Alpha
Laura Jones,A,1,Charlie
James Hernandez,C,2,Charlie
Anna Smith,A,4,Alpha
David Brown,A,4,Delta
Robert Miller,B,1,Alpha
John Williams,C,1,Alpha
John Johnson,A,3,Alpha
Sarah Johnson,D,3,Charlie
Michael Davis,B,1,Charlie
Jane Brown,D,3,Charlie
James Garcia,C,2,Bravo
Robert Johnson,A,4,Alpha
David Davis,C,3,Delta
James Johnson,D,3,Charlie
Laura Hernandez,B,3,Delta
John Jones,A,4,Delta
Sarah Garcia,A,4,Alpha
Emily Davis,A,1,Delta
John Davis,C,3,Bravo
Emily Williams,B,2,Bravo
David Williams,A,3,Bravo
David Johnson,A,4,Delta
Sarah Hernandez,D,2,Charlie
Laura Brown,D,3,Charlie
Laura Brown,D,3,Bravo
David Smith,A,1,Bravo
James Johnson,B,1,Charlie
David Williams,B,4,Alpha
Michael Davis,D,2,Delta
James Jones,B,3,Delta
Emily Davis,B,1,Alpha
Michael Miller,A,1,Bravo
